metadata,metadata_type,stream,time,tracking_id
"{""face_xyxyn"": [0.01911565288901329, 0.44990742206573486, 0.054298676550388336, 0.5076696872711182], ""gender"": ""Male"", ""gender_conf"": 0.6508036851882935, ""age"": ""20-29"", ""age_conf"": 0.34085729718208313, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.46184760332107544, ""upper_Body_xyxyn"": [0.01771881803870201, 0.508735716342926, 0.07540040463209152, 0.5974469184875488], ""lower_Body_xyxyn"": [0.01953604444861412, 0.5971459150314331, 0.06058673933148384, 0.6564745903015137], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:16, 22/05/2023",3
"{""face_xyxyn"": [0.01911565288901329, 0.44990742206573486, 0.054298676550388336, 0.5076696872711182], ""gender"": ""Male"", ""gender_conf"": 0.6508036851882935, ""age"": ""20-29"", ""age_conf"": 0.34085729718208313, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.46184760332107544, ""upper_Body_xyxyn"": [0.01771881803870201, 0.508735716342926, 0.07540040463209152, 0.5974469184875488], ""lower_Body_xyxyn"": [0.01953604444861412, 0.5971459150314331, 0.06058673933148384, 0.6564745903015137], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:16, 22/05/2023",3
"{""face_xyxyn"": [0.8368896842002869, 0.36725369095802307, 0.8557525873184204, 0.40197134017944336], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.24678006768226624, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.27092936635017395, ""upper_Body_xyxyn"": [0.8386430144309998, 0.42624005675315857, 0.86712646484375, 0.5589035749435425], ""lower_Body_xyxyn"": [0.8468582034111023, 0.5582632422447205, 0.8599866032600403, 0.7482686638832092], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Gray""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:26, 22/05/2023",9
"{""face_xyxyn"": [0.8368896842002869, 0.36725369095802307, 0.8557525873184204, 0.40197134017944336], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.24678006768226624, ""ethnicity"": ""Black"", ""ethnicity_conf"": 0.27092936635017395, ""upper_Body_xyxyn"": [0.8386430144309998, 0.42624005675315857, 0.86712646484375, 0.5589035749435425], ""lower_Body_xyxyn"": [0.8468582034111023, 0.5582632422447205, 0.8599866032600403, 0.7482686638832092], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Gray""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:26, 22/05/2023",9
"{""face_xyxyn"": [0.8234418034553528, 0.3967873454093933, 0.8392283320426941, 0.42822375893592834], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""30-39"", ""age_conf"": 0.339480459690094, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.39798232913017273, ""upper_Body_xyxyn"": [0.8168284296989441, 0.448135107755661, 0.8473647832870483, 0.5562625527381897], ""lower_Body_xyxyn"": [0.8247379660606384, 0.5504105687141418, 0.8488644361495972, 0.7345386743545532], ""upper_Body_Color"": ""Gray"", ""lower_Body_Color"": ""Gray""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:26, 22/05/2023",9
"{""face_xyxyn"": [0.8234418034553528, 0.3967873454093933, 0.8392283320426941, 0.42822375893592834], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""30-39"", ""age_conf"": 0.339480459690094, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.39798232913017273, ""upper_Body_xyxyn"": [0.8168284296989441, 0.448135107755661, 0.8473647832870483, 0.5562625527381897], ""lower_Body_xyxyn"": [0.8247379660606384, 0.5504105687141418, 0.8488644361495972, 0.7345386743545532], ""upper_Body_Color"": ""Gray"", ""lower_Body_Color"": ""Gray""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:27, 22/05/2023",9
"{""face_xyxyn"": [0.008928571827709675, 0.41820937395095825, 0.013091952539980412, 0.43878284096717834], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.38247647881507874, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.39798232913017273, ""upper_Body_xyxyn"": [0.06007998064160347, 0.4985974431037903, 0.09144134819507599, 0.6013059020042419], ""lower_Body_xyxyn"": [0.0, 0.0, 0.0, 0.0], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:27, 22/05/2023",9
"{""face_xyxyn"": [0.7488783597946167, 0.3701576590538025, 0.7697234153747559, 0.40798628330230713], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.38247647881507874, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.39798232913017273, ""upper_Body_xyxyn"": [0.7427361607551575, 0.4432831108570099, 0.7717527747154236, 0.5659607648849487], ""lower_Body_xyxyn"": [0.7463297843933105, 0.5656720399856567, 0.7662768363952637, 0.7544647455215454], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:27, 22/05/2023",9
"{""face_xyxyn"": [0.7191672921180725, 0.37671729922294617, 0.7384382486343384, 0.41394126415252686], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.38247647881507874, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.39798232913017273, ""upper_Body_xyxyn"": [0.7227044701576233, 0.43626657128334045, 0.7487322688102722, 0.5596612095832825], ""lower_Body_xyxyn"": [0.6948612332344055, 0.5590133666992188, 0.7648674249649048, 0.751742959022522], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:27, 22/05/2023",9
"{""face_xyxyn"": [0.7191672921180725, 0.37671729922294617, 0.7384382486343384, 0.41394126415252686], ""gender"": ""Male"", ""gender_conf"": 0.8927105665206909, ""age"": ""20-29"", ""age_conf"": 0.38247647881507874, ""ethnicity"": ""White"", ""ethnicity_conf"": 0.39798232913017273, ""upper_Body_xyxyn"": [0.7227044701576233, 0.43626657128334045, 0.7487322688102722, 0.5596612095832825], ""lower_Body_xyxyn"": [0.6948612332344055, 0.5590133666992188, 0.7648674249649048, 0.751742959022522], ""upper_Body_Color"": ""Silver"", ""lower_Body_Color"": ""Silver""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"17:33:27, 22/05/2023",9
